ts_code,name,pct_change,turnover_rate,net_amount,amount_rate,reason
000407.SZ,胜利股份,-0.99%,33.31%,-98M,16.67%,日振幅值达到15%的前5只证券
000546.SZ,金圆股份,-5.26%,38.51%,-37M,15.78%,日换手率达到20%的前5只证券
000632.SZ,三木集团,5.08%,49.68%,74M,21.36%,日换手率达到20%的前5只证券
300589.SZ,江龙船艇,2.09%,55.33%,-51M,23.91%,日换手率达到30%的前5只证券
300094.SZ,国联水产,-11.52%,43.66%,-167M,18.00%,日换手率达到30%的前5只证券
300250.SZ,初灵信息,7.72%,42.66%,13M,20.90%,日换手率达到30%的前5只证券
300560.SZ,中富通,-13.79%,33.20%,-72M,17.69%,日换手率达到30%的前5只证券
000536.SZ,华映科技,9.98%,8.12%,100M,26.94%,日涨幅偏离值达到7%的前5只证券
000547.SZ,航天发展,9.98%,42.60%,-116M,15.57%,日涨幅偏离值达到7%的前5只证券
000566.SZ,海南海药,10.00%,18.76%,121M,21.65%,日涨幅偏离值达到7%的前5只证券
300391.SZ,*ST长药,19.92%,21.80%,1M,19.93%,日涨幅达到15%的前5只证券
300774.SZ,倍杰特,20.02%,15.55%,134M,48.05%,日涨幅达到15%的前5只证券
300814.SZ,中富电路,20.00%,10.70%,126M,35.66%,日涨幅达到15%的前5只证券
300379.SZ,*ST东通,19.92%,31.75%,2M,12.44%,日涨幅达到15%的前5只证券
000620.SZ,盈新发展,-10.00%,11.38%,-89M,23.19%,日跌幅偏离值达到7%的前5只证券
600467.SH,好当家,-6.31%,24.51%,-119M,21.53%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600756.SH,浪潮软件,-5.58%,45.73%,176M,15.36%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600280.SH,中央商场,-9.51%,20.70%,-49M,18.51%,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600410.SH,华胜天成,3.00%,39.23%,-16M,16.11%,有价格涨跌幅限制的日换手率达到20%的前五只证券
600343.SH,航天动力,10.01%,6.78%,44M,29.23%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600996.SH,贵广网络,10.04%,3.90%,58M,37.24%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600881.SH,亚泰集团,10.10%,6.66%,86M,40.09%,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600403.SH,大有能源,-9.97%,4.64%,-6M,20.22%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600829.SH,人民同泰,-9.97%,9.62%,-7M,16.72%,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
000609.SZ,ST中迪,5.00%,8.33%,-3M,31.33%,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000859.SZ,国风新材,10.04%,8.18%,61M,30.97%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000663.SZ,永安林业,9.99%,31.52%,109M,30.23%,连续三个交易日内，涨幅偏离值累计达到20%的证券
000017.SZ,深中华A,9.96%,11.58%,10M,26.60%,连续三个交易日内，涨幅偏离值累计达到20%的证券
600408.SH,安泰集团,-9.63%,23.76%,-14M,16.54%,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
600693.SH,东百集团,-8.44%,17.25%,-34M,15.25%,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
